article_url,page_title,pv_90d,uu_90d,sessions_90d,avg_engagement_sec,first_seen_date,last_seen_date,days_since_first_pv,judgment_label
https://m.firekids.jp/hd_5054_0140_01s_pr2_cmjn/,ブランパンがブラックセラミック製の新作『バチスカーフ コンプリートカレンダー ムーンフェイズ』を発表 – FIREKIDS MAGAZINE,1,1,1,,2026-04-24,2026-04-24,13,D: 非公開候補
https://m.firekids.jp/gblt996_caseback_rgb/,世界で30本のみ。クレドール50周年を記念した瑠璃金彩の磁器ダイヤル『叡智Ⅱ』限定モデル – FIREKIDS MAGAZINE,1,1,1,,2026-04-01,2026-04-01,36,D: 非公開候補
http://m.firekids.jp/00/5467/,ロレックスに革ベルトの腕時計はある？特徴と魅力を徹底解説 – FIREKIDS MAGAZINE,1,1,1,,2026-04-27,2026-04-27,10,D: 非公開候補
https://m.firekids.jp/sub4-2/,タグ・ホイヤーが新作『アクアレーサー プロフェッショナル300』デイトとGMTの2種類を発表 – FIREKIDS MAGAZINE,1,1,1,,2026-04-20,2026-04-20,17,D: 非公開候補
https://m.firekids.jp/dsc03594/,服と時計のバランスで選んだIWC『ポルトギーゼ』。20本以上試して残った1本 – FIREKIDS MAGAZINE,2,1,1,,2026-04-14,2026-04-14,23,D: 非公開候補
https://m.firekids.jp/00/7935/pp26020401/,ホワイトゴールドの時計 – FIREKIDS MAGAZINE,2,1,1,,2026-04-15,2026-04-15,22,D: 非公開候補
http://m.firekids.jp/00/3480/,腕時計の種類はどのくらい？時計の用途や機構、機能の種類を解説 – FIREKIDS MAGAZINE,2,1,1,,2026-05-03,2026-05-03,4,D: 非公開候補
https://m.firekids.jp/dsc00043/,成人祝いに贈られたオメガ『シーマスター』。人生初の腕時計は父親から – FIREKIDS MAGAZINE,2,1,1,,2026-04-14,2026-04-14,23,D: 非公開候補
https://m.firekids.jp/web/,300本限定。ピアジェより150周年記念42mm・36mmモデル『ピアジェ ポロ デイト』が登場 – FIREKIDS MAGAZINE,2,1,1,,2026-04-15,2026-04-15,22,D: 非公開候補
https://m.firekids.jp/mda_ttts_mof_2405a-000g-h021_4/,ヴァシュロン・コンスタンタンが「海水江崖」を表現したメティエ・ダール新作を発表 – FIREKIDS MAGAZINE,2,1,1,,2026-04-19,2026-04-19,18,D: 非公開候補
http://m.firekids.jp/05/4136/,ヴィンテージのダイバーズウォッチ、コスパ最強モデル10選！ – FIREKIDS MAGAZINE,2,1,1,,2026-05-02,2026-05-02,5,D: 非公開候補
https://m.firekids.jp/1-omega_522-30-43-51-02-001/,オメガ2024新作、パリ五輪カラーを纏った『スピードマスター クロノスコープ』を発表 – FIREKIDS MAGAZINE,2,1,2,,2026-04-17,2026-04-17,20,D: 非公開候補
https://m.firekids.jp/stacked-from-41-images-methodb-r7s3/,ウブロより年に1度の特別モデル『クラシック・フュージョン エッセンシャル グレー』がオンライン限定で登場 – FIREKIDS MAGAZINE,2,1,2,,2026-04-15,2026-04-15,22,D: 非公開候補
