低PV_URL,低PV_タイトル,PV,統合先slug,統合先ブランド,統合先タイトル,共通KW,タイトル類似度,スコア
https://m.firekids.jp/00/8521/,ロンジン ダイバーズウォッチ 1960-70年代ヴィンテージ｜スキンダイバー・スーパーコンプレッサー解説,25,012_article_diver,LONGINES,﻿# ロンジン ダイバーズウォッチ 1960-70年代ヴィンテージ,ロンジン/1960/ダイバーズウォッチ/ヴィンテージ,0.71,4
https://m.firekids.jp/00/8526/,ロンジン ゴールドケース 1950-60年代ドレスウォッチ｜18K・14K・ゴールドフィルドの違いとCal.30L,18,013_article_gold_dress,LONGINES,﻿# ロンジン ゴールドケース 1950-60年代ドレスウォッチ,ドレスウォッチ/ロンジン/ゴールドケース/1950,0.65,4
https://m.firekids.jp/00/6358/,ジャガー・ルクルトの人気モデル『レベルソ』の最新トリビュート・クロノグラフ！,26,172_article_reverso,JLC,﻿# ジャガー・ルクルト レベルソ ヴィンテージ｜1930〜60年代 反転ケースの歴史,ルクルト/ジャガー・ルクルト/レベルソ/ジャガー,0.35,4
https://m.firekids.jp/00/466/,【連載コラム 第6回　ジャガー・ルクルト『メモボックス』】世田谷ボロ市から始まる『メモボックス』出世物語　文＝名畑政治,73,398_article_memovox_vintage,JLC,ジャガー・ルクルト メモボックス（Memovox）｜ヴィンテージアラームウォッチの系譜と魅力,ルクルト/ジャガー・ルクルト/ジャガー/メモボックス,0.3,4
https://m.firekids.jp/00/2286/,デイトナとスピードマスターの魅力｜人気のクロノグラフを徹底比較,44,477_article_daytona_vs_speedmaster,ROLEX,デイトナとスピードマスター、二大クロノグラフを並べてみる,デイトナ/クロノグラフ/スピードマスター,0.68,3
https://m.firekids.jp/00/5536/,セイコーやエルメスなどレディース向けヴィンテージ腕時計5選,59,489_article_seiko_ladies_vintage,SEIKO,セイコー レディース、ヴィンテージで選ぶ手巻きの愉しみ,ヴィンテージ/レディース/セイコー,0.57,3
https://m.firekids.jp/00/4040/,【ロレックス、オメガ】２０代から楽しむ、ヴィンテージ時計の入門方法,22,462_article_rolex_vs_omega_vintage,ROLEX,ロレックスとオメガ、ヴィンテージで迷ったときの判断軸,ヴィンテージ/オメガ/ロレックス,0.54,3
https://m.firekids.jp/00/2416/,【入門編】ロレックス・オメガ・セイコーを代表するダイバーズウォッチとは？,40,335_article_rolex_omega_gs_compare,THEME,ロレックス・オメガ・グランドセイコー 1960年代三つ巴比較,オメガ/セイコー/ロレックス,0.45,3
https://m.firekids.jp/00/5496/,オメガとロレックスのロングセラーモデルに見る、ヴィンテージと現行品の違いとは？,68,462_article_rolex_vs_omega_vintage,ROLEX,ロレックスとオメガ、ヴィンテージで迷ったときの判断軸,ヴィンテージ/オメガ/ロレックス,0.43,3
https://m.firekids.jp/00/7283/,【ブランド比較】ロレックス・オメガ・セイコーのヴィンテージスポーツウォッチ,54,335_article_rolex_omega_gs_compare,THEME,ロレックス・オメガ・グランドセイコー 1960年代三つ巴比較,オメガ/セイコー/ロレックス,0.42,3
https://m.firekids.jp/00/2972/,ジャガー・ルクルトの資産価値は？その魅力と評価要因を解説,88,397_article_master_mariner,JLC,ジャガー・ルクルト マスターマリーナ｜1950〜60年代の防水自動巻きモデルを解説,ルクルト/ジャガー・ルクルト/ジャガー,0.38,3
https://m.firekids.jp/00/1055/,それまでのクロノグラフとはまったく発想の違うトレンディウォッチ、ブライトリング『トップタイム』,25,069_article_top_time,BREITLING,﻿# ブライトリング トップタイム Ref.810 1960年代クロノグラフ,トップタイム/ブライトリング/クロノグラフ,0.31,3
https://m.firekids.jp/00/8531/,ロレックス ヴィンテージ（〜1960年代）の魅力と選び方｜バブルバック・セミバブル・1960年代モデルを年代別に解説,32,072_article_antique_guide,ROLEX,﻿# ロレックス ヴィンテージ（〜1960年代）の魅力と選び方,ヴィンテージ/ロレックス,0.63,2
https://m.firekids.jp/00/8472/,ブライトリングをつけてる人のイメージは「パイロット」「ゴツい」「男くさい」？,36,415_article_breitling_image,BREITLING,﻿# ブライトリングをつけてる人のイメージは？30代・40代の選択,イメージ/ブライトリング,0.56,2
https://m.firekids.jp/00/5591/,ロレックスのチェリーニは人気がない？チェリーニの価値と魅力,42,418_article_cellini_unpopular,ROLEX,﻿# ロレックス チェリーニは本当に人気がないのか？知る人ぞ知るドレスウォッチの実力,チェリーニ/ロレックス,0.56,2
https://m.firekids.jp/00/7265/,ヴィンテージ時計、オーバーホールをしないとどうなる？,64,425_article_cartier_overhaul,CARTIER,﻿# カルティエのヴィンテージ時計、オーバーホールで知っておくべきこと,ヴィンテージ/オーバーホール,0.56,2
https://m.firekids.jp/00/2907/,ドレスなデイトジャストからより自由なエクスプローラー２へ,68,464_article_dj_vs_explorer,ROLEX,デイトジャストとエクスプローラー、シーンで選ぶならどっち,エクスプローラー/デイトジャスト,0.54,2
https://m.firekids.jp/00/7970/vc26021302/,ヴァシュロン・コンスタンタン,4,401_article_vc222,VACHERON,ヴァシュロン・コンスタンタン 222とは？｜ジェンタが手がけたラグスポの隠れた名作,コンスタンタン/ヴァシュロン,0.51,2
https://m.firekids.jp/00/7970/vc26021301/,ヴァシュロン・コンスタンタン,4,401_article_vc222,VACHERON,ヴァシュロン・コンスタンタン 222とは？｜ジェンタが手がけたラグスポの隠れた名作,コンスタンタン/ヴァシュロン,0.51,2
https://m.firekids.jp/00/7888/vc26011302/,ヴァシュロン・コンスタンタン,4,401_article_vc222,VACHERON,ヴァシュロン・コンスタンタン 222とは？｜ジェンタが手がけたラグスポの隠れた名作,コンスタンタン/ヴァシュロン,0.51,2
https://m.firekids.jp/00/1588/,パテックフィリップはなぜ高い？その理由とノーチラスの良さと魅力を解説,30,510_article_patek_value,OTHER,パテックフィリップ、最高峰の値段の理由,パテック/パテックフィリップ,0.49,2
https://m.firekids.jp/00/7958/ro26021402/,デイデイト、デイトジャスト,4,449_article_rolex_popular_ranking,ROLEX,ロレックス 人気3モデル｜エクスプローラー・デイデイト・デイトジャストの特徴,デイトジャスト/デイデイト,0.47,2
https://m.firekids.jp/00/268/,継承されるクロノグラフの名機、ブライトリング「ナビタイマー」,28,480_article_omega_vs_breitling_chrono,OMEGA,クロノグラフで迷ったら、オメガとブライトリングをどう比べるか,ブライトリング/クロノグラフ,0.47,2
https://m.firekids.jp/00/6059/,特別な日のプレゼントに。カルティエなど女性向けヴィンテージ腕時計3選,36,189_article_vintage_beginner,CARTIER,カルティエ ヴィンテージ時計とは？代表モデルと選び方,ヴィンテージ/カルティエ,0.47,2
https://m.firekids.jp/00/7856/,ブライトリング トップタイムが再注目される理由,94,069_article_top_time,BREITLING,﻿# ブライトリング トップタイム Ref.810 1960年代クロノグラフ,トップタイム/ブライトリング,0.46,2
https://m.firekids.jp/00/4281/,【オメガ】スピードマスター、歴代モデルからおすすめモデルを紹介,58,436_article_speedmaster_affordable,OMEGA,﻿# オメガ スピードマスターの安いモデルは？ヴィンテージなら手が届く,オメガ/スピードマスター,0.45,2
https://m.firekids.jp/00/5492/,パテックフィリップを定価で買う方法はある？,83,510_article_patek_value,OTHER,パテックフィリップ、最高峰の値段の理由,パテック/パテックフィリップ,0.45,2
https://m.firekids.jp/00/7039/,ロレックス『オイスターパーペチュアル』はヴァラエティに富んだ時計だ！,100,055_article_1940s_50s,ROLEX,﻿# 1940〜50年代ロレックスの世界｜バブルバックからオイスターパーペチュアルへ,オイスターパーペチュアル/ロレックス,0.45,2
https://m.firekids.jp/00/5797/,マニア向け？　ムーブメントで選ぶ上質なヴィンテージ腕時計2選,91,006_article_cal_30l_30z,LONGINES,﻿# ロンジン 手巻きムーブメント ヴィンテージ解説,ヴィンテージ/ムーブメント,0.43,2
http://m.firekids.jp/05/4136/,ヴィンテージのダイバーズウォッチ、コスパ最強モデル10選！,2,012_article_diver,LONGINES,﻿# ロンジン ダイバーズウォッチ 1960-70年代ヴィンテージ,ヴィンテージ/ダイバーズウォッチ,0.42,2
https://m.firekids.jp/00/2956/,【グランドセイコー】買って後悔するのは本当か？グランドセイコーの魅力,48,120_article_grand_seiko,SEIKO,ヴィンテージ グランドセイコーの魅力と選び方｜世代別解説,セイコー/グランドセイコー,0.42,2
https://m.firekids.jp/00/5392/,セイコーダイバーなどTシャツに合わせたい夏のヴィンテージ腕時計4選,63,491_article_seiko_top_models,SEIKO,セイコーのヴィンテージ、いま注目の代表機,ヴィンテージ/セイコー,0.42,2
https://m.firekids.jp/00/3133/,スピードマスターとコンステレーション、オメガ2本使いのカリスマ美容師,88,482_article_gs_vs_constellation,OMEGA,グランドセイコーとオメガ コンステレーション、ハイビートの聖地対決,オメガ/コンステレーション,0.42,2
https://m.firekids.jp/00/2394/,ロレックス『GMTマスター』の独特のコンビケースは根強い人気を誇る,34,058_article_gmt_master_1675,ROLEX,﻿# ロレックス GMTマスター Ref.1675 ペプシ・コーク解説,ロレックス/マスター,0.41,2
https://m.firekids.jp/00/5436/,高騰傾向？　ロレックス価格改定によるヴィンテージ腕時計業界への影響とは,52,396_article_vintage_first,ROLEX,ロレックス ヴィンテージ入門｜最初の1本の選び方,ヴィンテージ/ロレックス,0.41,2
https://m.firekids.jp/00/2524/,【30万円以下】夏のボーナスで買いたいヴィンテージ時計をチェック！,46,255_article_authenticity_check,THEME,ヴィンテージ時計 真贋チェック 初心者が見るべき7か所,ヴィンテージ/チェック,0.4,2
