優先度スコア	シート	タイトル	判定理由	意図	本文行数
5470	259月コンテ_Long(926)	2025年上半期ロレックス人気ランキング【ファイアーキッズオリジナル】	ランキング(2600)/人気(2300)/年代明記/ブランド名あり	売上の詳細まで触れずとも、販売個数を元にブランド名縛りで商品をランキングで紹介。	7
5470	Bar企画	2025年上半期ロレックス人気ランキング【ファイアーキッズオリジナル】	ランキング(2600)/人気(2300)/年代明記/ブランド名あり	売上の詳細まで触れずとも、販売個数を元にブランド名縛りで商品をランキングで紹介。	7
3515	2512月コンテ_Long(121)	【大後悔】あの時買っておけばよかった時計エピソード	後悔(3475)	当時は相場や希少性の背景を深く理解できず見送ったモデルを振り返り、語り合う企画。 視聴者が自身の検討時に活かせる参考情報として、後悔を防ぐ学びを提供する。	4
3515	2512月コンテ_Long(1212)	【大後悔】あの時買っておけばよかった時計エピソード	後悔(3475)	当時は相場や希少性の背景を深く理解できず見送ったモデルを振り返り、語り合う企画。 視聴者が自身の検討時に活かせる参考情報として、後悔を防ぐ学びを提供する。	4
2370	2510月コンテ_Long(1020)	ROLEXが人気なのって日本だけ...?世界の中で突出して日本で絶大的な支持を得ている理由	人気(2300)	世界的に人気を誇るロレックスの中でも、日本市場で特に強い支持を集める背景を解説。消費者の価値観や文化的傾向を整理し、なぜ日本で突出した人気を築いているのかを理解	7
870	259月コンテ_Long(919)	実は世界の時計ファンに愛されている国産腕時計メーカー/ブランド/シリーズx選	国産(800)	知る人ぞ知る国産ブランドやシリーズを取り上げ、その歴史や評価ポイントを紹介。海外市場での人気実態を示すことで、国産時計の新たな価値に気づかせる企画。	7
820	253月コンテ_shorts(322)	国産の腕時計も良いよ！	国産(800)		2
700	259月コンテ_Long(905)	［年代別］最初に買いたい時計4選【ロレックス編】時計名/時計名	最初(300)/ブランド名あり	過去コンテンツ短期間（1-3ヶ月）のうち、一定の視聴伸びが得られていることから動画構成の見直しにより改善を狙う 立ち位置がファシリテーターが進行、紹介を交える構	13
620	259月コンテ_shorts(930)	10万円台で買えるヴィンテージ時計3選	10万(600)		2
570	259月コンテ_Long(925)	映画に出てきた有名なヴィンテージ時計5選	映画(500)	映画に登場した印象的なヴィンテージ時計を取り上げ、作品との関わりやモデルの背景を解説。物語性を通じて未認知層へリーチし、時計の文化的価値を広く伝える企画。	7
570	2510月コンテ_Long(1031)	【二十歳のお祝い】プレゼント選びの参考に！新生活や大学生活+新社会人でも使える万能なおすすめ腕時計を紹介！	プレゼント(300)/新社会人(200)	成人や新生活を迎える節目に、自分や家族への記念として「生まれ年の時計」を提案。年代の味わいと実用性を兼ね備えたモデルを紹介し、大学生活から社会人まで長く使える一	7
