シート	タイトル	意図	読後感	KW	参考URL1	参考URL2	本文行数
259月コンテ_shorts(904)	ロレックス買うならどっち？				https://www.youtube.com/shorts/gGqGdvlQnjY		2
259月コンテ_Long(905)	［年代別］最初に買いたい時計4選【ロレックス編】時計名/時計名	過去コンテンツ短期間（1-3ヶ月）のうち、一定の視聴伸びが得られていることから動画構成の見直しにより改善を狙う 立ち位置がファシリテーターが進行、紹介を交える構図だと初見視聴者は立ち位置が不明瞭な印象		吉田様/宮崎様/岩本様	https://www.youtube.com/watch?v=TTRzNpHbDko	https://www.youtube.com/watch?v=nohimmuFVb0	13
259月コンテ_Long(908) 	【査定エピソード】あなたの腕時計査定します！	既存、新規視聴者も気になる要素として、購入済みもしくは時計を持っている人が何を理由に査定に来るか？ 当初の予測していた金額感と、ファイアーキッズが査定したときのギャップ（時計の状態等）を比べる点に興味			https://www.youtube.com/watch?v=yBMjef6aMVs		8
259月コンテ_shorts(911) 	腕時計買うならどっち？				https://www.youtube.com/shorts/gGqGdvlQnjY		2
259月コンテ_Long(922)	【xx代向け】昇進・昇格したら身につけたい”ビジネスマン向け”ヴィンテージ腕時計x選	昇進・昇格を迎える年代向けに、スーツに映えるヴィンテージ時計を紹介。節目の自己投資としての意義を強調し、ビジネスマン層の共感と購買意欲を高める。			https://youtu.be/KfST4y9AGUE?si=xMcvHTeBa8v24xxE		7
259月コンテ_shorts(923)	今後値段が上がるかもしれない時計3選				https://youtube.com/shorts/IWgJMBMm5FQ?si=kvFA5ogNNFSn-fWt	https://m.firekids.jp/00/5285/	2
259月コンテ_Long(919)	実は世界の時計ファンに愛されている国産腕時計メーカー/ブランド/シリーズx選	知る人ぞ知る国産ブランドやシリーズを取り上げ、その歴史や評価ポイントを紹介。海外市場での人気実態を示すことで、国産時計の新たな価値に気づかせる企画。			https://youtube.com/shorts/uzFD8Eh6spw?si=GMZ6WPs1rE7ZxY4m		7
259月コンテ_Long(925)	映画に出てきた有名なヴィンテージ時計5選	映画に登場した印象的なヴィンテージ時計を取り上げ、作品との関わりやモデルの背景を解説。物語性を通じて未認知層へリーチし、時計の文化的価値を広く伝える企画。			https://youtu.be/cZ34-9DbZk0?si=GvlWC1kk8t89X4Jw		7
259月コンテ_Long(926)	2025年上半期ロレックス人気ランキング【ファイアーキッズオリジナル】	売上の詳細まで触れずとも、販売個数を元にブランド名縛りで商品をランキングで紹介。					7
259月コンテ_shorts(930)	10万円台で買えるヴィンテージ時計3選				https://www.youtube.com/shorts/o4USmG0pQAo	https://m.firekids.jp/39/303/	2
259月コンテ_shorts(102)	低予算で買えるヴィンテージ時計ありますか!?				https://youtube.com/shorts/9Bv5z-v6lsU?si=WBRE1zKv4-tM6JD2	https://m.firekids.jp/00/1807/	2
259月コンテ_shorts(109)	愛用してるなら答えられるよね？				https://youtube.com/shorts/or872p36HSo?si=wbwETKZwQB_50fsA		2
2510月コンテ_shorts(1016)	キムタクになれる腕時計！？				https://m.firekids.jp/00/2053/		2
2510月コンテ_shorts(1027) 	アンティーク時計アキネイター				https://www.youtube.com/shorts/TcG_l3AyZm4		2
2511月コンテ_shorts(116) 	壊れた時計…さすがに買い取れない？				https://m.firekids.jp/00/7510/		2
2511月コンテ_shorts(1113)	菅田将暉さんになる方法!?【ヴィンテージ時計】				https://m.firekids.jp/00/2053/		2
2511月コンテ_shorts(1120)	時計買うなら横浜来てください！				https://www.youtube.com/shorts/GkyCQDca7Tc		2
2511月コンテ_shorts(1127) 	彼氏につけてほしい時計どっち!?				https://youtube.com/shorts/pqiA95ZoZnw		2
2512月コンテ_shorts(124)	人生で一本しか時計が持てないとしたら？				https://youtube.com/shorts/aD-YQX-mQTc?si=Ff__Nq0UNQvUsI7E		1
2512月コンテ_shorts(1211)	腕時計で究極の2択！				https://youtube.com/shorts/jvUonYKkCm4?si=pIZgJUVZAEp_HBgn		2
