優先度,KW,月間表示回数,現在クリック,現在CTR,現在順位,出稿理由
A,カルティエ ヴィンテージ 時計,1998,12,0.6%,10.0,自然順位低/モデル指名
A,グランドセイコー 海外セレブ,1892,56,2.96%,1.65,モデル指名
A,オメガ ヴィンテージ,1700,7,0.41%,10.45,自然順位低/モデル指名
A,オメガ シーマスター ヴィンテージ,1359,40,2.94%,6.67,モデル指名
A,グランドセイコー ファースト,1119,103,9.2%,5.14,モデル指名
A,グランドセイコー ヴィンテージ,961,26,2.71%,8.32,自然順位低/モデル指名
A,グランドセイコー ビンテージ,771,18,2.33%,7.33,モデル指名
A,セイコー ヴィンテージ,757,39,5.15%,7.25,モデル指名
A,オメガ シーマスター アンティーク,752,17,2.26%,3.68,モデル指名
A,オメガ シーマスター 歴代モデル,688,45,6.54%,5.82,モデル指名
A,ロレックス サブマリーナ コンビ,661,14,2.12%,6.73,モデル指名
A,チューダー ヴィンテージ,658,11,1.67%,8.33,自然順位低/モデル指名
A,キングセイコー ヴィンテージ,617,7,1.13%,8.01,自然順位低/モデル指名
A,グランドセイコー 44gs,592,46,7.77%,5.34,モデル指名
A,ロンジン ヴィンテージ,545,21,3.85%,8.53,自然順位低/モデル指名
A,グランドセイコーファースト,521,31,5.95%,5.22,モデル指名
A,セイコー5 ヴィンテージ,519,55,10.6%,4.08,モデル指名
A,seiko ヴィンテージ,519,36,6.94%,6.35,モデル指名
A,ヴィンテージ セイコー,500,17,3.4%,9.02,自然順位低/モデル指名
A,オメガ コンステレーション ヴィンテージ,492,23,4.67%,7.36,モデル指名
A,セイコー アンティーク,485,26,5.36%,5.56,モデル指名
A,グランドセイコー vfa,477,20,4.19%,5.22,モデル指名
A,キングセイコー アンティーク,468,5,1.07%,9.1,自然順位低/モデル指名
A,ロレックス ヴィンテージ レディース,452,12,2.65%,8.15,自然順位低/モデル指名
A,セイコー アンティーク 名 機,413,26,6.3%,3.22,モデル指名
A,グランドセイコー ビンテージ 人気,383,36,9.4%,1.8,比較検討意図/モデル指名
A,ヴィンテージセイコー,358,10,2.79%,7.37,モデル指名
A,seiko アンティーク,357,31,8.68%,5.49,モデル指名
A,ヴァシュロンコンスタンタン ヴィンテージ,332,27,8.13%,8.22,自然順位低/モデル指名
A,44gs グランドセイコー,320,46,14.37%,4.39,モデル指名
A,45gs グランドセイコー,314,47,14.97%,3.79,モデル指名
A,グランドセイコー セカンド,306,28,9.15%,4.88,モデル指名
B,セイコー シチズン 比較,648,13,2.01%,2.53,購入意図あり
B,ロレックス おすすめ,591,5,0.85%,7.64,比較検討意図
B,シチズン セイコー 比較,558,7,1.25%,3.19,購入意図あり
B,オリエント時計 評判,526,6,1.14%,2.01,購入意図あり
B,ロレックス 人気モデル ランキング,471,9,1.91%,9.1,自然順位低/比較検討意図
B,ブライトリング 評判 海外,420,9,2.14%,1.22,購入意図あり
B,ロレックス人気モデル,368,5,1.36%,8.21,自然順位低/比較検討意図
B,オメガ デビル レディース 歴代モデル,335,7,2.09%,3.75,購入意図あり
B,オメガ スピードマスター ヴィンテージ,293,39,13.31%,3.78,モデル指名
B,セイコー 5 ヴィンテージ,274,17,6.2%,4.83,モデル指名
B,セイコー 5スポーツ アンティーク,274,14,5.11%,6.89,モデル指名
B,iwc ヴィンテージ,245,18,7.35%,11.11,自然順位低/モデル指名
B,ロンジン 時計 アンティーク,217,5,2.3%,8.77,自然順位低/モデル指名
B,ロレックス デイトジャスト 1601,210,9,4.29%,8.36,自然順位低/モデル指名
B,キングセイコー ノンデイト,207,17,8.21%,5.49,モデル指名
B,seiko ヴィンテージ 腕時計,207,15,7.25%,5.93,モデル指名
B,キングセイコー 評価,206,9,4.37%,2.33,モデル指名
C,グランドセイコー 56gs,197,47,23.86%,2.03,モデル指名
C,グランドセイコー 61gs,197,21,10.66%,5.23,モデル指名
C,セイコー ヴィンテージ 腕時計,192,13,6.77%,5.35,モデル指名
C,グランドセイコー 45gs,183,29,15.85%,2.38,モデル指名
C,ロレックス デイトジャスト 1970年代 相場,183,15,8.2%,1.73,価格指定意図/モデル指名
C,オメガ アンティーク シーマスター,183,9,4.92%,6.77,モデル指名
C,ロレックス レディース,180,7,3.89%,3.03,購入意図あり
C,セイコー アンティーク時計,169,7,4.14%,5.8,モデル指名
C,セイコー アンティーク おすすめ,168,40,23.81%,1.45,比較検討意図/モデル指名
C,グランドセイコー44gs,162,18,11.11%,4.98,モデル指名
C,セイコー 5スポーツ ヴィンテージ,160,10,6.25%,5.24,モデル指名
C,iwc ポート フィノ 評判,154,20,12.99%,2.65,購入意図あり
C,ロレックス レディース ヴィンテージ,144,7,4.86%,7.42,モデル指名
C,オメガ ヴィンテージ シーマスター,143,9,6.29%,4.54,モデル指名
C,セイコー ダイバーズ ヴィンテージ,142,22,15.49%,4.17,モデル指名
C,チューダー デイトジャスト,139,7,5.04%,4.25,モデル指名
C,ロレックス エクスプローラー1 ヴィンテージ,136,25,18.38%,4.51,モデル指名
C,ロレックス アンティーク レディース,133,6,4.51%,9.24,自然順位低/モデル指名
C,アンティーク 腕時計 セイコー,130,7,5.38%,6.85,モデル指名
C,ロレックス エクスプローラー ヴィンテージ,127,13,10.24%,5.15,モデル指名
